2024-03-03 16:44:21 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-03 16:44:22 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 66bdc8ce-4ef9-401f-b81c-a019c93314c2
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 49 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 18 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 13 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 183 ms to scan 200 urls, producing 0 keys and 0 values 
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-03 16:44:22 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 14 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-03 16:44:23 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-03 16:44:23 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 189 ms to scan 200 urls, producing 0 keys and 0 values 
2024-03-03 16:44:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-03 16:44:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-03 16:44:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-03 16:44:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-03 16:44:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-03 16:44:28 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709455468044_120.227.131.104_44933
2024-03-03 16:44:28 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Notify connected event to listeners.
2024-03-03 16:44:28 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-03 16:44:28 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[66bdc8ce-4ef9-401f-b81c-a019c93314c2] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$858/1560243485
2024-03-03 16:44:30 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-3000"]
2024-03-03 16:44:30 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 3000 (http) with context path ''
2024-03-03 16:44:30 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP user-center 192.168.10.9:3000 register finished
2024-03-03 16:44:30 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-03 16:44:30 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-03 16:44:30 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-03 16:44:30 |INFO  |main |StartupInfoLogger.java:61 |ljl.user_center.CenterEditApplication |Started CenterEditApplication in 18.605 seconds (JVM running for 20.363)
2024-03-03 16:44:45 |INFO  |http-nio-3000-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-03 16:44:45 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-03 16:44:45 |INFO  |http-nio-3000-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 4 ms
2024-03-03 16:44:45 |INFO  |http-nio-3000-exec-1 |FollowController.java:36 |ljl.user_center.controller.follow.FollowController |1
2024-03-03 16:44:46 |INFO  |http-nio-3000-exec-1 |DruidDataSource.java:975 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2024-03-03 16:44:54 |INFO  |http-nio-3000-exec-3 |FollowController.java:36 |ljl.user_center.controller.follow.FollowController |1
2024-03-03 16:48:21 |INFO  |Thread-16 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-03-03 16:48:21 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-03-03 16:48:22 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-03-03 16:48:22 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2024-03-03 16:48:22 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2136 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2024-03-03 16:48:39 |INFO  |main |StartupInfoLogger.java:55 |ljl.user_center.CenterEditApplication |Starting CenterEditApplication using Java 1.8.0_65 on DESKTOP-4C1V07J with PID 10300 (E:\bilibili\user_center\target\classes started by Administrator in E:\bilibili)
2024-03-03 16:48:39 |INFO  |main |SpringApplication.java:645 |ljl.user_center.CenterEditApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-03 16:48:43 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=c54bc169-09c4-34aa-8ab7-2aa245c76d85
2024-03-03 16:48:44 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 3000 (http)
2024-03-03 16:48:44 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-3000"]
2024-03-03 16:48:44 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-03 16:48:44 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-03 16:48:45 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-03 16:48:45 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 5519 ms
2024-03-03 16:48:46 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-03 16:48:46 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-03 16:48:49 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-03 16:48:49 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of 7474c571-4fe3-4dc6-bc3a-2b20e32b6faf
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 49 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 30 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 33 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 281 ms to scan 200 urls, producing 0 keys and 0 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 13 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 28 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 20 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-03 16:48:50 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 224 ms to scan 200 urls, producing 0 keys and 0 values 
2024-03-03 16:48:50 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[7474c571-4fe3-4dc6-bc3a-2b20e32b6faf] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-03 16:48:50 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[7474c571-4fe3-4dc6-bc3a-2b20e32b6faf] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-03 16:48:50 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[7474c571-4fe3-4dc6-bc3a-2b20e32b6faf] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
